fold,origin_timestamp,school_id,method,n_train_school,n_test_school,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,alpha_lo,alpha_hi,cov80_unc_on_calib,abs_err_cov80
1,2023-05-30,S35,two_stage_cal_asymm,8640,673,0.8472918340185945,,0.4710252600297177,0.7310549777117384,0.7815750371471025,3.925579085895922,0.4,1.25,0.9386574074074074,0.0689450222882616
1,2023-05-30,S36,two_stage_cal_asymm,8640,673,2.148965244600696,,0.4888558692421991,0.736998514115899,0.9465081723625557,5.247783641875046,1.25,1.6,0.6956018518518519,0.06300148588410104
1,2023-05-30,S37,two_stage_cal_asymm,8640,673,0.9697767468709894,,0.549777117384844,0.7459138187221397,0.9153046062407132,2.661351667078805,0.7,0.6000000000000001,0.8865740740740741,0.05408618127786036
1,2023-05-30,S38,two_stage_cal_asymm,8640,673,0.6862391444318334,,0.3447251114413076,0.6909361069836553,0.8410104011887073,1.718803985720298,0.55,0.45,0.9490740740740741,0.10906389301634478
1,2023-05-30,S39,two_stage_cal_asymm,8640,673,2.027474268236497,,0.6508172362555721,0.7845468053491828,0.8112927191679049,3.1638609877806183,1.1500000000000001,0.6000000000000001,0.8061342592592593,0.015453194650817292
1,2023-05-30,S4,two_stage_cal_asymm,8640,673,1.2496691097916142,,0.2288261515601783,0.4606240713224368,0.6359583952451708,2.0223788043110584,0.7,0.5,0.9346064814814815,0.3393759286775632
1,2023-05-30,S40,two_stage_cal_asymm,8640,673,1.519273374301674,,0.5809806835066865,0.7057949479940565,0.7310549777117384,3.530740521044232,1.9,0.3,0.8657407407407407,0.09420505200594353
1,2023-05-30,S41,two_stage_cal_asymm,8640,673,1.0924010088449232,,0.31054977711738485,0.4769687964338782,0.6151560178306092,2.0597814842707507,0.4,0.45,0.9363425925925926,0.32303120356612186
1,2023-05-30,S42,two_stage_cal_asymm,8640,673,2.0504083287680723,,0.6329866270430906,0.7578008915304606,0.7904903417533432,3.315296757623069,1.9,0.4,0.8489583333333334,0.04219910846953945
1,2023-05-30,S43,two_stage_cal_asymm,8640,673,3.0951371057355295,,0.4725111441307578,0.674591381872214,0.7845468053491828,4.825343707477992,1.3,0.6000000000000001,0.8703703703703703,0.12540861812778603
1,2023-05-30,S44,two_stage_cal_asymm,8640,673,1.4551164003249355,,0.4947994056463596,0.7726597325408618,0.8662704309063893,3.8525708701317414,0.8,1.25,0.765625,0.0273402674591382
1,2023-05-30,S45,two_stage_cal_asymm,8640,673,1.0716302558469593,,0.46656760772659733,0.8484398216939079,0.8781575037147102,4.56018545369651,1.0,1.45,0.7939814814814815,0.048439821693907814
1,2023-05-30,S46,two_stage_cal_asymm,8640,673,0.9390349771459139,,0.29569093610698366,0.612184249628529,0.8023774145616642,1.7312441183735414,0.3,0.7,0.9108796296296297,0.18781575037147102
1,2023-05-30,S47,two_stage_cal_asymm,8640,673,3.633994152167165,,0.4576523031203566,0.7132243684992571,0.9257057949479941,6.130218531361249,0.55,1.7999999999999998,0.8136574074074074,0.08677563150074297
1,2023-05-30,S48,two_stage_cal_asymm,8640,673,3.591462674834348,,0.45319465081723626,0.5943536404160475,0.6775631500742942,6.8629259705060965,1.95,0.65,0.8107638888888888,0.2056463595839525
1,2023-05-30,S49,two_stage_cal_asymm,8640,673,4.386795527788018,,0.1649331352154532,0.5081723625557206,0.6106983655274889,4.766378417178851,0.5,1.45,0.7615740740740741,0.2918276374442794
1,2023-05-30,S5,two_stage_cal_asymm,8640,673,0.830094690171608,,0.6998514115898959,0.7771173848439822,0.8098068350668648,3.5446128561469066,2.3499999999999996,0.25,0.9612268518518519,0.02288261515601786
1,2023-05-30,S50,two_stage_cal_asymm,8640,673,0.5600679379587169,,0.3789004457652303,0.674591381872214,0.8187221396731055,1.0789470918608135,0.5,0.25,0.9756944444444444,0.12540861812778603
1,2023-05-30,S51,two_stage_cal_asymm,8640,673,0.7341354856949455,,0.4115898959881129,0.8395245170876672,0.9182763744427934,2.479850785549909,0.7,0.7,0.9027777777777778,0.03952451708766713
1,2023-05-30,S52,two_stage_cal_asymm,8640,673,0.3597359731068202,,0.4650817236255572,0.8276374442793462,0.8915304606240714,1.5225672938359445,0.25,0.5,0.9704861111111112,0.027637444279346113
1,2023-05-30,S53,two_stage_cal_asymm,8640,673,2.5367005660469086,,0.4442793462109955,0.6582466567607727,0.7161961367013373,3.1438354043041876,0.7,0.6000000000000001,0.8900462962962963,0.1417533432392274
1,2023-05-30,S6,two_stage_cal_asymm,8640,673,0.7667661905784384,,0.37592867756315007,0.6151560178306092,0.7459138187221397,1.4694753441325863,0.75,0.25,0.9548611111111112,0.1848439821693908
1,2023-05-30,S7,two_stage_cal_asymm,8640,673,1.3637534651172436,,0.5572065378900446,0.8677563150074294,0.9524517087667161,3.2145136426839547,0.7,1.0,0.8356481481481481,0.0677563150074294
1,2023-05-30,S8,two_stage_cal_asymm,8640,673,2.2016264232359632,,0.6448736998514116,0.774145616641902,0.826151560178306,3.5938088378860895,0.9500000000000001,0.75,0.8344907407407407,0.025854383358098088
1,2023-05-30,S9,two_stage_cal_asymm,8640,673,2.1775032289487113,,0.600297176820208,0.7459138187221397,0.7904903417533432,3.3244031831155696,1.2,0.75,0.8634259259259259,0.05408618127786036
