fold,origin_timestamp,end_timestamp,method,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,fit_time_sec
7,2023-08-22,2023-09-05,per_school,1.2297570775671756,0.3423324357202907,0.47343631725027335,0.7483248759426954,0.8403375480108778,3.5059675485940818,243.9908299446106
7,2023-08-22,2023-09-05,two_stage_cal_asymm,1.3399133022430039,0.44835363977776754,0.539235750932182,0.7921444391488407,0.867223639574981,4.418028132131965,29.85445213317871
8,2023-09-05,2023-09-19,naive_1day,1.3412704309063892,,,,,,0.0
8,2023-09-05,2023-09-19,naive_1week,1.1425829151363929,,,,,,0.0
8,2023-09-05,2023-09-19,pooled,1.3404453373602887,0.4119035661814759,0.5345538142364519,0.8172923266702178,0.910734811741288,4.619293803877246,492.6869161128998
8,2023-09-05,2023-09-19,per_school,1.0581143574704845,0.30264323581343905,0.45582999243040173,0.7368022652723654,0.8478230396142309,3.1895662146032815,240.09619188308716
8,2023-09-05,2023-09-19,two_stage_cal_asymm,1.109249712340673,0.37615536461781474,0.5965404132439934,0.8129748521124787,0.8692421991084696,3.8777879275432667,29.445810079574585
9,2023-09-19,2023-10-03,naive_1day,0.9819462150734404,,,,,,0.0
9,2023-09-19,2023-10-03,naive_1week,0.9903752048506598,,,,,,0.0
9,2023-09-19,2023-10-03,pooled,1.0849655282330288,0.33558979552904417,0.5220499593484539,0.8063584625304887,0.911603913762651,4.189373632096213,511.61409521102905
9,2023-09-19,2023-10-03,per_school,0.8234609400244631,0.23959524828437753,0.44074686702739074,0.7268496453503042,0.834113656115955,2.7081508882120717,262.6341722011566
9,2023-09-19,2023-10-03,two_stage_cal_asymm,1.1690344300818616,0.3826944424324482,0.49544422327511284,0.758950349042586,0.8336370517816591,3.92443068571515,31.751673698425293
10,2023-10-03,2023-10-17,naive_1day,0.6686903291497717,,,,,,0.0
10,2023-10-03,2023-10-17,naive_1week,1.1108077226338582,,,,,,0.0
10,2023-10-03,2023-10-17,pooled,0.7775880621266993,0.24808707495774218,0.5343014942947658,0.825394600353248,0.9236872354145056,3.4144082662674635,545.9476459026337
10,2023-10-03,2023-10-17,per_school,0.5954615033218938,0.18315284673359086,0.41904735204238974,0.6832824020858449,0.789116599848608,1.6827103508554004,272.24591517448425
10,2023-10-03,2023-10-17,two_stage_cal_asymm,0.6868361980919514,0.2366280171411855,0.5762426757128039,0.8204042726176792,0.87860607249993,3.0489202545734186,33.36512994766235
11,2023-10-17,2023-10-31,naive_1day,0.8292556561720261,,,,,,0.0
11,2023-10-17,2023-10-31,naive_1week,0.6132165185455158,,,,,,0.0
11,2023-10-17,2023-10-31,pooled,0.9579825228360923,0.30542623179076916,0.5838683450615381,0.8642238358238246,0.9433681908660181,4.3799731246942075,577.9661340713501
11,2023-10-17,2023-10-31,per_school,0.6558872955924655,0.19535237046910264,0.4685581317110096,0.7696318932406291,0.871877540721635,2.2603124161506476,290.3129630088806
11,2023-10-17,2023-10-31,two_stage_cal_asymm,0.7797421868311348,0.26342750528032577,0.6128851383554347,0.8555047800611175,0.9196781518966048,3.4820280725103854,35.86808896064758
12,2023-10-31,2023-11-14,naive_1day,0.840822422832151,,,,,,0.0
12,2023-10-31,2023-11-14,naive_1week,0.6740840786116796,,,,,,0.0
12,2023-10-31,2023-11-14,pooled,0.963744529034654,0.30196967606545383,0.5476183801059744,0.8398889792256581,0.9218368891754745,4.096264122566771,614.3706030845642
12,2023-10-31,2023-11-14,per_school,0.6512050446800256,0.19686039305029865,0.44705486556954216,0.727802854018896,0.8234601474669881,2.1812480880362246,310.0006558895111
12,2023-10-31,2023-11-14,two_stage_cal_asymm,0.8046951943434582,0.27043499890297934,0.5880176063248199,0.8248338893717233,0.8888951190109058,3.54292683329994,37.89136219024658
